Row Labels,Sum of total_revenue
Beauty,48259.48
Asia,12150.62
Europe,23240.27
Middle East,11694.43
North America,1174.16
Books,52171.95
Asia,19586.04
Europe,15170.63
Middle East,16792
North America,623.28
Electronics,59663.1
Asia,20713.79
Europe,18251.71
Middle East,19607.32
North America,1090.28
Fashion,42394.5
Asia,22662.48
Europe,10093.42
Middle East,8922.16
North America,716.44
Home & Kitchen,60691.49
Asia,17976.18
Europe,27358.69
Middle East,13964.38
North America,1392.24
Sports,52397.64
Asia,18451.94
Europe,14437.61
Middle East,17503.9
North America,2004.19
Grand Total,315578.16
