Row Labels,Sum of total_revenue
Cash on Delivery,64482.39
Beauty,9060.71
Books,13528.76
Electronics,9369.58
Fashion,7910.01
Home & Kitchen,13328.49
Sports,11284.84
Credit Card,50945.48
Beauty,4383.89
Books,8750.9
Electronics,10828.31
Fashion,6217.14
Home & Kitchen,12196.63
Sports,8568.61
Debit Card,64418.4
Beauty,13011.94
Books,7748.39
Electronics,14493.05
Fashion,8270.51
Home & Kitchen,10161.77
Sports,10732.74
UPI,66235.27
Beauty,11331.34
Books,8024.31
Electronics,15697.96
Fashion,8231.92
Home & Kitchen,13391.23
Sports,9558.51
Wallet,69496.62
Beauty,10471.6
Books,14119.59
Electronics,9274.2
Fashion,11764.92
Home & Kitchen,11613.37
Sports,12252.94
Grand Total,315578.16
